S NO.,STATE,DISTRICT,STATION,TYPE,LATITUDE,LONGITUDE,ALTITUDE
429,GOA,NORTH_GOA,ELA_NORTH GOA_KVK,AGRO,15.4893,73.9196,59.3
430,GOA,NORTH_GOA,GOA_STATE_BIODIVERSITY_BOARD,AWS,15.5345,73.7916,100
431,GOA,NORTH_GOA,MAPUSA,ARG,15.59,73.81,
432,GOA,NORTH_GOA,OLD_GOA,ARG,15.48,73.92,
433,GOA,NORTH_GOA,PANAJI,AWS,15.4922,73.8251,56
434,GOA,NORTH_GOA,PERNEM,ARG,15.71,73.79,
435,GOA,NORTH_GOA,VALPOI,ARG,15.51,74.13,
436,GOA,SOUTH_GOA,CANACONA,ARG,14.99,74.05,
437,GOA,SOUTH_GOA,MADGAON_KVK,AGRO,15.2662,73.9626,17.3
438,GOA,SOUTH_GOA,MORMUGAO,AWS,15.4117,73.7861,62.2
2222,GOA,SOUTH_GOA,NETRAVALI,BITS,15.258445,74.24287,
